"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1983-01-01T21:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",4.53,"bereinigt"
"1983-01-01T21:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",63.75,"bereinigt"
"1983-01-01T21:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",282.44,"bereinigt"
"1983-01-01T21:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",259.78,"bereinigt"
"1983-01-01T21:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",118.73,"bereinigt"
"1983-01-01T22:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",4.19,"bereinigt"
"1983-01-01T22:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",63.23,"bereinigt"
"1983-01-01T22:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",214.41,"bereinigt"
"1983-01-01T22:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",204.96,"bereinigt"
"1983-01-01T22:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",NA,"bereinigt"
"1983-01-01T23:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.47,"bereinigt"
"1983-01-01T23:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",64.25,"bereinigt"
"1983-01-01T23:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",113.91,"bereinigt"
"1983-01-01T23:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",124.92,"bereinigt"
"1983-01-01T23:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",NA,"bereinigt"
"1983-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.53,"bereinigt"
"1983-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",62.2,"bereinigt"
"1983-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",176.27,"bereinigt"
"1983-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",173.85,"bereinigt"
"1983-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",NA,"bereinigt"
"1983-01-02T01:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.19,"bereinigt"
"1983-01-02T01:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",64.26,"bereinigt"
"1983-01-02T01:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",95.87,"bereinigt"
"1983-01-02T01:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",110.47,"bereinigt"
"1983-01-02T01:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",82.23,"bereinigt"
"1983-01-02T02:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",2.81,"bereinigt"
"1983-01-02T02:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",62.72,"bereinigt"
"1983-01-02T02:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",73.19,"bereinigt"
"1983-01-02T02:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",91.48,"bereinigt"
"1983-01-02T02:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",75.04,"bereinigt"
"1983-01-02T03:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",2.43,"bereinigt"
"1983-01-02T03:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",61.69,"bereinigt"
"1983-01-02T03:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",42.78,"bereinigt"
"1983-01-02T03:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",66.55,"bereinigt"
"1983-01-02T03:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",55.5,"bereinigt"
"1983-01-02T04:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",2.24,"bereinigt"
"1983-01-02T04:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",62.21,"bereinigt"
"1983-01-02T04:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",24.22,"bereinigt"
"1983-01-02T04:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",51.95,"bereinigt"
"1983-01-02T04:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",36.49,"bereinigt"
"1983-01-02T05:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",2.19,"bereinigt"
"1983-01-02T05:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",61.69,"bereinigt"
"1983-01-02T05:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",26.29,"bereinigt"
"1983-01-02T05:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",53.34,"bereinigt"
"1983-01-02T05:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",52.94,"bereinigt"
"1983-01-02T06:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",2.25,"bereinigt"
"1983-01-02T06:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",60.14,"bereinigt"
"1983-01-02T06:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",34.02,"bereinigt"
"1983-01-02T06:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",58.72,"bereinigt"
"1983-01-02T06:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",60.65,"bereinigt"
"1983-01-02T07:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",2.68,"bereinigt"
"1983-01-02T07:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",62.21,"bereinigt"
"1983-01-02T07:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",69.06,"bereinigt"
"1983-01-02T07:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",87.9,"bereinigt"
"1983-01-02T07:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",103.3,"bereinigt"
"1983-01-02T08:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",2.73,"bereinigt"
